transaction_id,customer_id,customer_name,timestamp,amount_kes,transaction_type,channel
TXN1088,CUST040,John Omondi,2026-06-15 09:58:00,27500,Transfer,Mobile
TXN1155,CUST078,Caroline Kilonzo,2026-06-15 09:59:00,12000,Withdrawal,Branch
TXN1153,CUST076,Amina Hassan,2026-06-15 10:16:00,8900,Withdrawal,ATM
TXN1033,CUST010,Peter Wafula,2026-06-15 10:18:00,27500,Withdrawal,Agent
TXN1152,CUST076,Amina Hassan,2026-06-15 10:19:00,5400,Withdrawal,ATM
TXN1129,CUST062,Beatrice Njeri,2026-06-15 10:23:00,750,Transfer,Branch
TXN1133,CUST066,Mercy Onyango,2026-06-15 10:24:00,12000,Transfer,ATM
TXN1004,CUST001,George Hassan,2026-06-15 10:28:00,4200,Withdrawal,Agent
TXN1126,CUST062,Beatrice Njeri,2026-06-15 10:28:00,9800,Deposit,ATM
TXN1108,CUST050,Peter Wambui,2026-06-15 10:31:00,22000,Deposit,Mobile
TXN1083,CUST035,Peter Gathoni,2026-06-15 10:32:00,500,Withdrawal,Agent
TXN1148,CUST074,Sarah Mwangi,2026-06-15 10:42:00,15600,Deposit,Branch
TXN1096,CUST043,Rose Onyango,2026-06-15 10:47:00,18300,Deposit,ATM
TXN1144,CUST071,James Hassan,2026-06-15 10:50:00,500,Withdrawal,Agent
TXN1105,CUST049,Susan Njoki,2026-06-15 10:58:00,5400,Withdrawal,Mobile
TXN1067,CUST026,Rebecca Njoki,2026-06-15 11:03:00,4200,Withdrawal,Agent
TXN1020,CUST006,Francis Achieng,2026-06-15 11:12:00,11200,Deposit,Agent
TXN1081,CUST034,James Kariuki,2026-06-15 11:13:00,11200,Withdrawal,Mobile
TXN1058,CUST022,Rebecca Mwangi,2026-06-15 11:17:00,1200,Withdrawal,Agent
TXN1145,CUST072,Joyce Kariuki,2026-06-15 11:20:00,6700,Deposit,Branch
TXN1131,CUST064,Eric Chebet,2026-06-15 11:21:00,1200,Deposit,Agent
TXN1117,CUST055,Dennis Wanjiru,2026-06-15 11:27:00,27500,Deposit,Branch
TXN1124,CUST059,David Achieng,2026-06-15 11:30:00,34500,Transfer,ATM
TXN1034,CUST010,Peter Wafula,2026-06-15 11:34:00,15600,Withdrawal,Mobile
TXN1085,CUST038,Eric Kiptoo,2026-06-15 11:40:00,6700,Withdrawal,Branch
TXN1087,CUST039,Charles Njoki,2026-06-15 11:46:00,3400,Withdrawal,ATM
TXN1110,CUST051,Daniel Njoki,2026-06-15 11:46:00,3400,Deposit,Agent
TXN1095,CUST042,Faith Hassan,2026-06-15 11:51:00,1800,Deposit,Branch
TXN1051,CUST017,Grace Wafula,2026-06-15 11:56:00,3400,Deposit,Branch
TXN1021,CUST006,Francis Achieng,2026-06-15 12:05:00,6700,Withdrawal,Branch
TXN1159,CUST080,Mercy Omondi,2026-06-15 12:12:00,4200,Transfer,ATM
TXN1054,CUST019,Victor Hassan,2026-06-15 12:20:00,1800,Transfer,Agent
TXN1080,CUST034,James Kariuki,2026-06-15 12:35:00,9800,Withdrawal,Mobile
TXN1040,CUST012,Anthony Kimani,2026-06-15 12:43:00,27500,Transfer,ATM
TXN1019,CUST005,Sarah Otieno,2026-06-15 12:46:00,500,Withdrawal,Agent
TXN1112,CUST051,Daniel Njoki,2026-06-15 12:48:00,9800,Deposit,Mobile
TXN1049,CUST016,David Kariuki,2026-06-15 13:04:00,5400,Transfer,Agent
TXN1082,CUST035,Peter Gathoni,2026-06-15 13:05:00,22000,Deposit,Branch
TXN1060,CUST022,Rebecca Mwangi,2026-06-15 13:09:00,34500,Transfer,ATM
TXN1134,CUST066,Mercy Onyango,2026-06-15 13:19:00,500,Withdrawal,Mobile
TXN1111,CUST051,Daniel Njoki,2026-06-15 13:20:00,2300,Deposit,Mobile
TXN1056,CUST021,Anthony Kiptoo,2026-06-15 13:21:00,27500,Transfer,Agent
TXN1002,CUST001,George Hassan,2026-06-15 13:25:00,12000,Withdrawal,ATM
TXN1130,CUST064,Eric Chebet,2026-06-15 13:26:00,27500,Withdrawal,ATM
TXN1084,CUST037,Rose Nyambura,2026-06-15 13:37:00,1200,Deposit,Mobile
TXN1027,CUST008,Josephine Onyango,2026-06-15 13:47:00,1800,Transfer,Branch
TXN1115,CUST054,Paul Chebet,2026-06-15 13:48:00,750,Withdrawal,Agent
TXN1025,CUST007,Grace Njoki,2026-06-15 13:50:00,5400,Deposit,Branch
TXN1026,CUST007,Grace Njoki,2026-06-15 13:50:00,9800,Withdrawal,ATM
TXN1114,CUST054,Paul Chebet,2026-06-15 13:55:00,41000,Withdrawal,Agent
TXN1062,CUST023,Lucy Gathoni,2026-06-15 13:57:00,1800,Deposit,Mobile
TXN1065,CUST026,Rebecca Njoki,2026-06-15 13:59:00,750,Transfer,Branch
TXN1149,CUST074,Sarah Mwangi,2026-06-15 14:02:00,9800,Transfer,ATM
TXN1121,CUST058,John Njeri,2026-06-15 14:03:00,34500,Withdrawal,Branch
TXN1104,CUST048,Rose Gathoni,2026-06-15 14:04:00,27500,Deposit,Agent
TXN1052,CUST019,Victor Hassan,2026-06-15 14:10:00,6700,Withdrawal,ATM
TXN1022,CUST006,Francis Achieng,2026-06-15 14:12:00,9800,Withdrawal,ATM
TXN1072,CUST028,Nancy Achieng,2026-06-15 14:15:00,18300,Withdrawal,ATM
TXN1137,CUST067,Rebecca Wambui,2026-06-15 14:15:00,2300,Withdrawal,Branch
TXN1010,CUST003,Fatuma Wafula,2026-06-15 14:19:00,1800,Withdrawal,Mobile
TXN1048,CUST016,David Kariuki,2026-06-15 14:20:00,1800,Transfer,Branch
TXN1122,CUST058,John Njeri,2026-06-15 14:26:00,9800,Deposit,Agent
TXN1102,CUST047,Dennis Kilonzo,2026-06-15 14:29:00,18300,Withdrawal,Branch
TXN1039,CUST012,Anthony Kimani,2026-06-15 14:39:00,2300,Transfer,Mobile
TXN1120,CUST058,John Njeri,2026-06-15 14:39:00,3400,Transfer,Agent
TXN1035,CUST011,Josephine Otieno,2026-06-15 14:42:00,41000,Transfer,ATM
TXN1093,CUST042,Faith Hassan,2026-06-15 14:51:00,1800,Transfer,Mobile
TXN1037,CUST012,Anthony Kimani,2026-06-15 15:01:00,18300,Withdrawal,Mobile
TXN1006,CUST002,Beatrice Otieno,2026-06-15 15:06:00,11200,Transfer,Mobile
TXN1146,CUST072,Joyce Kariuki,2026-06-15 15:15:00,500,Deposit,Agent
TXN1015,CUST004,Lucy Odhiambo,2026-06-15 15:23:00,4200,Deposit,Branch
TXN1053,CUST019,Victor Hassan,2026-06-15 15:25:00,9800,Deposit,Branch
TXN1055,CUST021,Anthony Kiptoo,2026-06-15 15:29:00,18300,Transfer,Mobile
TXN1045,CUST015,Sarah Chebet,2026-06-15 15:34:00,22000,Transfer,Branch
TXN1119,CUST056,Susan Odhiambo,2026-06-15 15:35:00,5400,Transfer,Mobile
TXN1143,CUST071,James Hassan,2026-06-15 15:37:00,5400,Deposit,Agent
TXN1069,CUST027,Anthony Otieno,2026-06-15 15:43:00,4200,Deposit,Agent
TXN1138,CUST068,Victor Odhiambo,2026-06-15 15:43:00,2300,Transfer,ATM
TXN1016,CUST005,Sarah Otieno,2026-06-15 15:49:00,27500,Deposit,Branch
TXN1154,CUST076,Amina Hassan,2026-06-15 16:11:00,6700,Deposit,ATM
TXN1132,CUST064,Eric Chebet,2026-06-15 16:23:00,3400,Transfer,Branch
TXN1044,CUST014,David Gathoni,2026-06-15 16:32:00,27500,Withdrawal,Agent
TXN1017,CUST005,Sarah Otieno,2026-06-15 16:51:00,5400,Withdrawal,ATM
TXN1023,CUST007,Grace Njoki,2026-06-15 16:53:00,500,Deposit,Agent
TXN1140,CUST070,Samuel Njoki,2026-06-15 16:58:00,1200,Transfer,Agent
TXN1125,CUST061,Ann Chebet,2026-06-15 17:10:00,1800,Withdrawal,ATM
TXN1092,CUST042,Faith Hassan,2026-06-15 17:15:00,22000,Deposit,Mobile
TXN1097,CUST045,Rebecca Gathoni,2026-06-15 17:18:00,1200,Transfer,Branch
TXN1068,CUST026,Rebecca Njoki,2026-06-15 17:19:00,27500,Withdrawal,Agent
TXN1003,CUST001,George Hassan,2026-06-15 17:25:00,1200,Withdrawal,Mobile
TXN1150,CUST075,Kevin Kiptoo,2026-06-15 17:25:00,5400,Withdrawal,Agent
TXN1073,CUST028,Nancy Achieng,2026-06-15 17:31:00,34500,Deposit,Agent
TXN1094,CUST042,Faith Hassan,2026-06-15 17:33:00,1800,Transfer,ATM
TXN1001,CUST001,George Hassan,2026-06-15 17:43:00,1200,Deposit,ATM
TXN1099,CUST045,Rebecca Gathoni,2026-06-15 17:47:00,8900,Transfer,Branch
TXN1014,CUST004,Lucy Odhiambo,2026-06-15 17:55:00,1800,Transfer,Agent
TXN1086,CUST038,Eric Kiptoo,2026-06-15 17:57:00,12000,Deposit,ATM
TXN1113,CUST052,David Kiptoo,2026-06-15 18:00:00,8900,Deposit,Agent
TXN1157,CUST078,Caroline Kilonzo,2026-06-15 18:03:00,4200,Deposit,ATM
TXN1074,CUST028,Nancy Achieng,2026-06-15 18:13:00,6700,Deposit,Branch
TXN1101,CUST047,Dennis Kilonzo,2026-06-15 18:13:00,22000,Deposit,Agent
TXN1078,CUST033,Diana Kariuki,2026-06-15 18:18:00,1200,Deposit,Branch
TXN1011,CUST003,Fatuma Wafula,2026-06-15 18:21:00,750,Deposit,Branch
TXN1046,CUST015,Sarah Chebet,2026-06-15 18:33:00,750,Transfer,Branch
TXN1013,CUST004,Lucy Odhiambo,2026-06-15 18:34:00,500,Transfer,Agent
TXN1123,CUST059,David Achieng,2026-06-15 18:47:00,750,Deposit,Branch
TXN1135,CUST067,Rebecca Wambui,2026-06-15 18:48:00,22000,Transfer,ATM
TXN1142,CUST070,Samuel Njoki,2026-06-15 18:48:00,2300,Withdrawal,Mobile
TXN1018,CUST005,Sarah Otieno,2026-06-15 18:51:00,6700,Withdrawal,ATM
TXN1151,CUST075,Kevin Kiptoo,2026-06-15 18:54:00,27500,Withdrawal,Branch
TXN1158,CUST078,Caroline Kilonzo,2026-06-15 18:56:00,9800,Transfer,Mobile
TXN1070,CUST027,Anthony Otieno,2026-06-15 19:01:00,750,Withdrawal,Mobile
TXN1139,CUST070,Samuel Njoki,2026-06-15 19:02:00,500,Withdrawal,Branch
TXN1042,CUST014,David Gathoni,2026-06-15 19:06:00,27500,Deposit,Mobile
TXN1050,CUST016,David Kariuki,2026-06-15 19:07:00,3400,Transfer,Agent
TXN1059,CUST022,Rebecca Mwangi,2026-06-15 19:08:00,15600,Transfer,Agent
TXN1118,CUST056,Susan Odhiambo,2026-06-15 19:27:00,500,Transfer,ATM
TXN1024,CUST007,Grace Njoki,2026-06-15 19:41:00,1800,Transfer,Mobile
TXN1029,CUST008,Josephine Onyango,2026-06-15 19:41:00,3400,Transfer,ATM
TXN1038,CUST012,Anthony Kimani,2026-06-15 19:51:00,3400,Withdrawal,Branch
TXN1043,CUST014,David Gathoni,2026-06-15 19:57:00,1800,Deposit,Agent
TXN1064,CUST025,Caroline Kimani,2026-06-15 20:07:00,18300,Withdrawal,Agent
TXN1032,CUST010,Peter Wafula,2026-06-15 20:12:00,5400,Withdrawal,Agent
TXN1047,CUST015,Sarah Chebet,2026-06-15 20:28:00,3400,Deposit,Mobile
TXN1077,CUST033,Diana Kariuki,2026-06-15 20:32:00,8900,Transfer,Branch
TXN1089,CUST040,John Omondi,2026-06-15 20:43:00,41000,Transfer,Branch
TXN1075,CUST028,Nancy Achieng,2026-06-15 20:56:00,3400,Deposit,Agent
TXN1036,CUST011,Josephine Otieno,2026-06-15 20:58:00,27500,Withdrawal,Branch
TXN1251,CUST050,Peter Wambui,2026-06-16 07:02:00,1200,Transfer,Mobile
TXN1271,CUST061,Ann Chebet,2026-06-16 07:02:00,3400,Transfer,Mobile
TXN1275,CUST062,Beatrice Njeri,2026-06-16 07:02:00,1800,Transfer,Agent
TXN1205,CUST024,Anthony Achieng,2026-06-16 07:03:00,34500,Withdrawal,ATM
TXN1242,CUST044,Grace Njoki,2026-06-16 07:08:00,22000,Withdrawal,Mobile
TXN1193,CUST019,Victor Hassan,2026-06-16 07:13:00,750,Withdrawal,Branch
TXN1173,CUST009,Fatuma Kariuki,2026-06-16 07:51:00,8900,Transfer,Branch
TXN1215,CUST029,Rose Wafula,2026-06-16 07:56:00,34500,Transfer,Mobile
TXN1178,CUST013,Joyce Gathoni,2026-06-16 08:04:00,750,Transfer,Mobile
TXN1247,CUST049,Susan Njoki,2026-06-16 08:04:00,3400,Transfer,Agent
TXN1208,CUST026,Rebecca Njoki,2026-06-16 08:06:00,12000,Deposit,Branch
TXN1274,CUST062,Beatrice Njeri,2026-06-16 08:15:00,5400,Withdrawal,Mobile
TXN1162,CUST003,Fatuma Wafula,2026-06-16 08:22:00,15600,Withdrawal,Branch
TXN1190,CUST018,Mercy Kiptoo,2026-06-16 08:23:00,27500,Withdrawal,ATM
TXN1171,CUST008,Josephine Onyango,2026-06-16 08:30:00,18300,Deposit,Agent
TXN1303,CUST078,Caroline Kilonzo,2026-06-16 08:40:00,2300,Deposit,Branch
TXN1258,CUST052,David Kiptoo,2026-06-16 08:47:00,18300,Withdrawal,Branch
TXN1167,CUST007,Grace Njoki,2026-06-16 08:51:00,1200,Deposit,Branch
TXN1228,CUST035,Peter Gathoni,2026-06-16 08:53:00,11200,Transfer,Agent
TXN1224,CUST033,Diana Kariuki,2026-06-16 08:59:00,9800,Transfer,Mobile
TXN1220,CUST030,Josephine Nyambura,2026-06-16 09:01:00,500,Transfer,ATM
TXN1269,CUST060,Paul Hassan,2026-06-16 09:02:00,500,Withdrawal,Mobile
TXN1246,CUST048,Rose Gathoni,2026-06-16 09:08:00,500,Withdrawal,Branch
TXN1184,CUST015,Sarah Chebet,2026-06-16 09:15:00,6700,Withdrawal,Agent
TXN1287,CUST070,Samuel Njoki,2026-06-16 09:18:00,5400,Transfer,Branch
TXN1207,CUST026,Rebecca Njoki,2026-06-16 09:22:00,8900,Withdrawal,Branch
TXN1270,CUST061,Ann Chebet,2026-06-16 09:22:00,3400,Transfer,Mobile
TXN1232,CUST039,Charles Njoki,2026-06-16 09:25:00,4200,Transfer,Agent
TXN1203,CUST023,Lucy Gathoni,2026-06-16 09:27:00,2300,Withdrawal,ATM
TXN1296,CUST072,Joyce Kariuki,2026-06-16 09:29:00,18300,Transfer,Agent
TXN1255,CUST052,David Kiptoo,2026-06-16 09:32:00,8900,Withdrawal,Agent
TXN1238,CUST042,Faith Hassan,2026-06-16 09:39:00,1200,Deposit,Agent
TXN1192,CUST019,Victor Hassan,2026-06-16 10:02:00,11200,Deposit,Branch
TXN1179,CUST013,Joyce Gathoni,2026-06-16 10:06:00,15600,Deposit,ATM
TXN1189,CUST018,Mercy Kiptoo,2026-06-16 10:07:00,1200,Withdrawal,Branch
TXN1180,CUST014,David Gathoni,2026-06-16 10:08:00,15600,Deposit,Branch
TXN1185,CUST016,David Kariuki,2026-06-16 10:20:00,1800,Deposit,Agent
TXN1300,CUST075,Kevin Kiptoo,2026-06-16 10:20:00,5400,Deposit,Mobile
TXN1164,CUST005,Sarah Otieno,2026-06-16 10:23:00,34500,Deposit,Branch
TXN1221,CUST031,Susan Gathoni,2026-06-16 10:28:00,18300,Withdrawal,ATM
TXN1186,CUST016,David Kariuki,2026-06-16 10:32:00,27500,Withdrawal,Mobile
TXN1259,CUST054,Paul Chebet,2026-06-16 10:41:00,1200,Withdrawal,Agent
TXN1299,CUST074,Sarah Mwangi,2026-06-16 10:46:00,9800,Transfer,Agent
TXN1166,CUST005,Sarah Otieno,2026-06-16 10:51:00,12000,Withdrawal,ATM
TXN1273,CUST061,Ann Chebet,2026-06-16 10:52:00,34500,Transfer,Mobile
TXN1170,CUST008,Josephine Onyango,2026-06-16 11:00:00,1800,Withdrawal,Branch
TXN1209,CUST026,Rebecca Njoki,2026-06-16 11:08:00,1200,Deposit,Agent
TXN1236,CUST041,Victor Mwangi,2026-06-16 11:24:00,11200,Transfer,Branch
TXN1292,CUST071,James Hassan,2026-06-16 11:27:00,34500,Transfer,Branch
TXN1182,CUST015,Sarah Chebet,2026-06-16 11:36:00,750,Deposit,Agent
TXN1218,CUST030,Josephine Nyambura,2026-06-16 11:37:00,6700,Deposit,ATM
TXN1262,CUST055,Dennis Wanjiru,2026-06-16 11:41:00,5400,Withdrawal,Mobile
TXN1199,CUST022,Rebecca Mwangi,2026-06-16 11:42:00,8900,Deposit,Mobile
TXN1200,CUST022,Rebecca Mwangi,2026-06-16 11:47:00,41000,Deposit,ATM
TXN1191,CUST019,Victor Hassan,2026-06-16 11:49:00,500,Withdrawal,Agent
TXN1263,CUST056,Susan Odhiambo,2026-06-16 11:57:00,6700,Transfer,Branch
TXN1290,CUST070,Samuel Njoki,2026-06-16 12:06:00,12000,Deposit,Mobile
TXN1214,CUST029,Rose Wafula,2026-06-16 12:07:00,3400,Withdrawal,Branch
TXN1278,CUST063,Peter Mwangi,2026-06-16 12:16:00,8900,Withdrawal,Agent
TXN1243,CUST048,Rose Gathoni,2026-06-16 12:19:00,2300,Transfer,Agent
TXN1277,CUST063,Peter Mwangi,2026-06-16 12:21:00,15600,Deposit,Mobile
TXN1165,CUST005,Sarah Otieno,2026-06-16 12:23:00,22000,Withdrawal,ATM
TXN1169,CUST007,Grace Njoki,2026-06-16 12:39:00,1200,Deposit,Agent
TXN1237,CUST042,Faith Hassan,2026-06-16 12:48:00,1800,Deposit,Branch
TXN1229,CUST036,Diana Omondi,2026-06-16 12:57:00,750,Deposit,Branch
TXN1284,CUST066,Mercy Onyango,2026-06-16 13:00:00,27500,Withdrawal,Agent
TXN1201,CUST022,Rebecca Mwangi,2026-06-16 13:01:00,11200,Transfer,Branch
TXN1222,CUST031,Susan Gathoni,2026-06-16 13:06:00,1800,Withdrawal,Agent
TXN1233,CUST040,John Omondi,2026-06-16 13:10:00,750,Withdrawal,Mobile
TXN1252,CUST050,Peter Wambui,2026-06-16 13:11:00,6700,Withdrawal,Mobile
TXN1254,CUST051,Daniel Njoki,2026-06-16 13:12:00,27500,Transfer,ATM
TXN1163,CUST003,Fatuma Wafula,2026-06-16 13:22:00,8900,Deposit,Mobile
TXN1223,CUST031,Susan Gathoni,2026-06-16 13:23:00,1800,Deposit,Mobile
TXN1268,CUST060,Paul Hassan,2026-06-16 13:39:00,41000,Withdrawal,Branch
TXN1225,CUST035,Peter Gathoni,2026-06-16 13:41:00,3400,Withdrawal,Mobile
TXN1176,CUST010,Peter Wafula,2026-06-16 13:48:00,4200,Withdrawal,ATM
TXN1248,CUST049,Susan Njoki,2026-06-16 13:51:00,750,Withdrawal,Mobile
TXN1257,CUST052,David Kiptoo,2026-06-16 13:54:00,15600,Transfer,ATM
TXN1293,CUST071,James Hassan,2026-06-16 13:56:00,6700,Deposit,Branch
TXN1306,CUST079,Anthony Nyambura,2026-06-16 14:01:00,3400,Deposit,ATM
TXN1304,CUST079,Anthony Nyambura,2026-06-16 14:02:00,500,Deposit,ATM
TXN1276,CUST062,Beatrice Njeri,2026-06-16 14:06:00,3400,Withdrawal,Branch
TXN1285,CUST069,Moses Kariuki,2026-06-16 14:06:00,22000,Transfer,Branch
TXN1161,CUST002,Beatrice Otieno,2026-06-16 14:10:00,2300,Withdrawal,Mobile
TXN1288,CUST070,Samuel Njoki,2026-06-16 14:10:00,2300,Transfer,Mobile
TXN1227,CUST035,Peter Gathoni,2026-06-16 14:18:00,4200,Transfer,Branch
TXN1217,CUST030,Josephine Nyambura,2026-06-16 14:35:00,8900,Transfer,ATM
TXN1286,CUST069,Moses Kariuki,2026-06-16 14:37:00,11200,Transfer,Agent
TXN1289,CUST070,Samuel Njoki,2026-06-16 14:50:00,34500,Withdrawal,Agent
TXN1266,CUST058,John Njeri,2026-06-16 14:53:00,27500,Transfer,Mobile
TXN1188,CUST016,David Kariuki,2026-06-16 14:56:00,6700,Deposit,Agent
TXN1295,CUST072,Joyce Kariuki,2026-06-16 15:09:00,18300,Transfer,Agent
TXN1298,CUST073,Amina Njeri,2026-06-16 15:12:00,750,Deposit,Branch
TXN1244,CUST048,Rose Gathoni,2026-06-16 15:14:00,15600,Transfer,Agent
TXN1196,CUST021,Anthony Kiptoo,2026-06-16 15:30:00,1800,Deposit,Mobile
TXN1177,CUST013,Joyce Gathoni,2026-06-16 15:34:00,9800,Withdrawal,ATM
TXN1235,CUST041,Victor Mwangi,2026-06-16 15:40:00,12000,Transfer,Agent
TXN1250,CUST050,Peter Wambui,2026-06-16 15:46:00,22000,Withdrawal,Branch
TXN1281,CUST065,Rebecca Wambui,2026-06-16 15:49:00,2300,Deposit,ATM
TXN1230,CUST037,Rose Nyambura,2026-06-16 15:58:00,22000,Withdrawal,Agent
TXN1245,CUST048,Rose Gathoni,2026-06-16 16:08:00,5400,Deposit,ATM
TXN1213,CUST028,Nancy Achieng,2026-06-16 16:13:00,1200,Deposit,Branch
TXN1297,CUST072,Joyce Kariuki,2026-06-16 16:14:00,3400,Deposit,ATM
TXN1174,CUST009,Fatuma Kariuki,2026-06-16 16:15:00,9800,Deposit,ATM
TXN1265,CUST058,John Njeri,2026-06-16 16:15:00,12000,Transfer,ATM
TXN1195,CUST020,Kennedy Kimani,2026-06-16 16:19:00,1800,Withdrawal,Mobile
TXN1231,CUST037,Rose Nyambura,2026-06-16 16:32:00,6700,Deposit,Agent
TXN1241,CUST044,Grace Njoki,2026-06-16 16:40:00,15600,Deposit,Agent
TXN1226,CUST035,Peter Gathoni,2026-06-16 16:46:00,2300,Withdrawal,Branch
TXN1280,CUST064,Eric Chebet,2026-06-16 16:47:00,500,Deposit,Mobile
TXN1294,CUST072,Joyce Kariuki,2026-06-16 16:48:00,1200,Deposit,Agent
TXN1212,CUST028,Nancy Achieng,2026-06-16 16:54:00,5400,Deposit,Branch
TXN1204,CUST023,Lucy Gathoni,2026-06-16 16:56:00,11200,Deposit,Branch
TXN1206,CUST026,Rebecca Njoki,2026-06-16 16:59:00,11200,Transfer,Branch
TXN1291,CUST071,James Hassan,2026-06-16 17:01:00,11200,Withdrawal,Agent
TXN1256,CUST052,David Kiptoo,2026-06-16 17:03:00,22000,Transfer,Mobile
TXN1301,CUST076,Amina Hassan,2026-06-16 17:06:00,5400,Deposit,Branch
TXN1198,CUST021,Anthony Kiptoo,2026-06-16 17:10:00,12000,Transfer,Agent
TXN1219,CUST030,Josephine Nyambura,2026-06-16 17:23:00,18300,Transfer,ATM
TXN1210,CUST028,Nancy Achieng,2026-06-16 17:24:00,1800,Transfer,Branch
TXN1187,CUST016,David Kariuki,2026-06-16 17:29:00,1200,Withdrawal,Mobile
TXN1261,CUST055,Dennis Wanjiru,2026-06-16 17:35:00,15600,Transfer,Agent
TXN1160,CUST002,Beatrice Otieno,2026-06-16 17:46:00,12000,Deposit,Agent
TXN1211,CUST028,Nancy Achieng,2026-06-16 17:50:00,6700,Transfer,ATM
TXN1249,CUST049,Susan Njoki,2026-06-16 17:52:00,34500,Deposit,ATM
TXN1216,CUST029,Rose Wafula,2026-06-16 17:53:00,9800,Withdrawal,ATM
TXN1234,CUST040,John Omondi,2026-06-16 17:54:00,11200,Deposit,Mobile
TXN1239,CUST043,Rose Onyango,2026-06-16 17:55:00,41000,Transfer,Agent
TXN1240,CUST043,Rose Onyango,2026-06-16 18:00:00,1200,Withdrawal,Branch
TXN1282,CUST065,Rebecca Wambui,2026-06-16 18:03:00,34500,Transfer,Branch
TXN1168,CUST007,Grace Njoki,2026-06-16 18:04:00,9800,Deposit,Agent
TXN1272,CUST061,Ann Chebet,2026-06-16 18:04:00,1200,Withdrawal,Agent
TXN1267,CUST060,Paul Hassan,2026-06-16 18:14:00,41000,Deposit,Branch
TXN1305,CUST079,Anthony Nyambura,2026-06-16 18:14:00,27500,Transfer,Agent
TXN1183,CUST015,Sarah Chebet,2026-06-16 18:16:00,5400,Deposit,Branch
TXN1202,CUST023,Lucy Gathoni,2026-06-16 18:25:00,5400,Withdrawal,ATM
TXN1283,CUST065,Rebecca Wambui,2026-06-16 18:55:00,1800,Transfer,Agent
TXN1264,CUST057,Ruth Kilonzo,2026-06-16 18:58:00,9800,Withdrawal,ATM
TXN1260,CUST054,Paul Chebet,2026-06-16 18:59:00,750,Transfer,Mobile
TXN1253,CUST050,Peter Wambui,2026-06-16 19:06:00,500,Transfer,Branch
TXN1302,CUST077,Victor Wafula,2026-06-16 19:19:00,8900,Deposit,Agent
TXN1197,CUST021,Anthony Kiptoo,2026-06-16 19:25:00,34500,Withdrawal,Mobile
TXN1279,CUST064,Eric Chebet,2026-06-16 19:38:00,27500,Deposit,Agent
TXN1175,CUST010,Peter Wafula,2026-06-16 19:50:00,1800,Transfer,Branch
TXN1194,CUST019,Victor Hassan,2026-06-16 20:00:00,9800,Deposit,Agent
